vendor,product,iot,kev,1d,1d_uniq_ip,7d,30d,90d,history,cve,total,last_seen
Meta,React Server Components,True,True,37806,52.0,34037,32207,38794,{},CVE-2025-55182,1893058,2026-02-08 13:05:44.176643
Citrix,Citrix NetScaler,True,True,6244,77.0,6014,7097,4807,{},CVE-2025-5777,450306,2026-02-08 13:05:44.182101
Geoserver,Geoserver,True,True,2343,34.0,1831,1615,1606,{},CVE-2024-36401,982290,2026-02-08 13:05:44.194168
Apache,Struts,True,True,2277,1.0,2277,2277,2277,"{'21/12/2024': {'connections': 2277, 'uniq_ips': 1}}",CVE-2024-53677,2277,2024-12-21 12:39:56.606715
Ivanti,"Endpoint Manager Mobile (EPMM), formerly MobileIron Core",True,True,1955,23.0,6687,5853,5853,{},CVE-2026-1281,39118,2026-02-08 13:05:44.072410
Ivanti,"Endpoint Manager Mobile (EPMM), formerly MobileIron Core",True,True,1870,3.0,465,611,639,{},CVE-2025-4427,314184,2026-02-06 13:16:16.452462
LB-LINK,"LB-LINK BL-AC1900_2.0, LB-LINK BL-WR9000, LB-LINK BL-X26, LB-LINK BL-LTE300",True,True,1680,6.0,976,399,1313,{},CVE-2023-26801,1504766,2026-02-08 13:05:44.099463
Huawei,Huawei Home Gateway HG532,True,True,1571,317.0,1460,1929,2199,{},CVE-2017-17215,7449054,2026-02-08 13:05:44.124271
Cisco,Cisco IOS XE,True,True,1556,263.0,2890,2838,3284,{},CVE-2023-20198,2053571,2026-02-08 13:05:44.124869
PHPUnit - Sebastian Bergmann,PHPUnit,True,True,1444,224.0,1503,2136,1930,{},CVE-2017-9841,6114118,2026-02-08 13:05:44.149358
Apache,Apache HTTP Server,True,True,1359,238.0,1281,1152,1030,{},CVE-2021-42013,418061,2026-02-08 13:05:44.191418
Geoserver,Geoserver,True,True,1206,3.0,339,842,691,{},CVE-2025-58360,24860,2026-02-08 13:05:44.183538
